mir,sapiens,denisovan,altai,vindja,chag,DiffSapDen,DiffSapVin,DiffSapAlt,DiffDenVin,DiffDenAlt,DiffAltVin,DiffSapCha,DiffVinCha,DiffDenCha,DiffAltCha
miR-196b-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4726-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-411-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6746-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6817-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-140-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-1276,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6804-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6812-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6879-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-7-2-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4265,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-5692a,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-139-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-505-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3180-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4662a-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-524-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6798-5p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-596,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-95-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3689b-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-548ar-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-182-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-584-5p,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0
miR-933,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-6529-3p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-1323,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-577,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-4638-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-491-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-7158-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4531,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4310,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6508-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4303,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0
miR-5093,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-211-5p,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-367-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-3074-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1261,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6502-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-147a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6804-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-548au-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-5705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-187-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-636,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6852-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4530,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-6858-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-7706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-8080,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5094,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
miR-379-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4322,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4730,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-5197-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let-7b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6715a-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-12130,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-194-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-101-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6788-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-3140-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-518f-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3115,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6766-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-381-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1305,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-548a-3p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
